id,kanjis_id,read_full,yomigana,okurigana,is_japanese_reading
3965,1930,な,な,,true
3966,1931,メイ,メイ,,false
3967,1931,ミョウ,ミョウ,,false
3968,1931,いのち,いのち,,true
3969,1932,メイ,メイ,,false
3970,1932,ミョウ,ミョウ,,false
3971,1932,あ-かり,あ,かり,true
3972,1932,あか-るい,あか,るい,true
3973,1932,あか-るむ,あか,るむ,true
3974,1932,あか-らむ,あか,らむ,true
3975,1932,あき-らか,あき,らか,true
3976,1932,あ-ける,あ,ける,true
3977,1932,あ-く,あ,く,true
3978,1932,あ-くる,あ,くる,true
3979,1932,あ-かす,あ,かす,true
3980,1933,メイ,メイ,,false
3981,1933,まよ-う,まよ,う,true
3982,1934,メイ,メイ,,false
3983,1934,ミョウ,ミョウ,,false
3984,1935,メイ,メイ,,false
3985,1936,メイ,メイ,,false
3986,1937,メイ,メイ,,false
3987,1937,な-く,な,く,true
3988,1937,な-る,な,る,true
3989,1937,な-らす,な,らす,true
3990,1938,メツ,メツ,,false
3991,1938,ほろ-びる,ほろ,びる,true
3992,1938,ほろ-ぼす,ほろ,ぼす,true
3993,1939,メン,メン,,false
3994,1939,まぬか-れる,まぬか,れる,true
3995,1940,メン,メン,,false
3996,1940,おも,おも,,true
3997,1940,おもて,おもて,,true
3998,1940,つら,つら,,true
3999,1941,メン,メン,,false
4000,1941,わた,わた,,true
4001,1942,メン,メン,,false
4002,1943,モ,モ,,false
4003,1943,しげ-る,しげ,る,true
4004,1944,モ,モ,,false
4005,1944,ボ,ボ,,false
4006,1945,モウ,モウ,,false
4007,1945,け,け,,true
4008,1946,モウ,モウ,,false
4009,1946,ボウ,ボウ,,false
4010,1947,モウ,モウ,,false
4011,1948,モウ,モウ,,false
4012,1948,コウ,コウ,,false
4013,1949,モウ,モウ,,false
4014,1950,モウ,モウ,,false
4015,1950,あみ,あみ,,true
4016,1951,モク,モク,,false
4017,1951,ボク,ボク,,false
4018,1951,め,め,,true
4019,1951,ま,ま,,true
4020,1952,モク,モク,,false
4021,1952,だま-る,だま,る,true
4022,1953,モン,モン,,false
4023,1953,かど,かど,,true
4024,1954,モン,モン,,false
4025,1955,モン,モン,,false
4026,1955,と-う,と,う,true
4027,1955,と-い,と,い,true
4028,1955,とん,とん,,true
4029,1956,もんめ,もんめ,,true
4030,1957,ヤ,ヤ,,false
4031,1958,ヤ,ヤ,,false
4032,1958,よ,よ,,true
4033,1958,よる,よる,,true
4034,1959,ヤ,ヤ,,false
4035,1959,の,の,,true
4036,1960,や,や,,true
4037,1961,ヤク,ヤク,,false
4038,1962,ヤク,ヤク,,false
4039,1962,エキ,エキ,,false
4040,1963,ヤク,ヤク,,false
4041,1964,ヤク,ヤク,,false
4042,1964,わけ,わけ,,true
4043,1965,ヤク,ヤク,,false
4044,1965,くすり,くすり,,true
4045,1966,ヤク,ヤク,,false
4046,1966,おど-る,おど,る,true
4047,1967,やみ,やみ,,true
4048,1968,ユ,ユ,,false
4049,1968,ユウ,ユウ,,false
4050,1968,ユイ,ユイ,,false
4051,1968,よし,よし,,true
